,type,title,director,country,release_year,rating,listed_in,first_genre
415,Movie,Chhota Bheem aur Krishna,Rajiv Chilaka,India,2009-01-01,TV-Y7,Children & Family Movies,Children & Family Movies
416,Movie,Chhota Bheem aur Krishna vs Zimbara,Rajiv Chilaka,desconocido,2013-01-01,TV-Y7,Children & Family Movies,Children & Family Movies
417,Movie,Chhota Bheem in African Safari,Binayak Das,desconocido,2015-01-01,TV-Y7,Children & Family Movies,Children & Family Movies
418,Movie,Chhota Bheem Ka Roosi Romanch,"Arpan Sarkar, Shyamal Chaulia",desconocido,2019-01-01,TV-Y,Children & Family Movies,Children & Family Movies
419,Movie,Chhota Bheem: Bheem vs Aliens,Rajiv Chilaka,desconocido,2010-01-01,TV-Y7,"Children & Family Movies, Sports Movies",Children & Family Movies
420,Movie,Chhota Bheem: Dholakpur to Kathmandu,Rajiv Chilaka,desconocido,2012-01-01,TV-Y7,Children & Family Movies,Children & Family Movies
421,Movie,Chhota Bheem: Dus Pe Dus,"Rajiv Chilaka, Owll Mina",desconocido,2014-01-01,TV-Y7,Children & Family Movies,Children & Family Movies
422,Movie,Chhota Bheem: Journey to Petra,Rajiv Chilaka,desconocido,2011-01-01,TV-Y7,Children & Family Movies,Children & Family Movies
423,Movie,Chhota Bheem: Master of Shaolin,Rajiv Chilaka,desconocido,2011-01-01,TV-Y7,Children & Family Movies,Children & Family Movies
424,Movie,Chhota Bheem: The Rise of Kirmada,Rajiv Chilaka,desconocido,2012-01-01,TV-Y7,Children & Family Movies,Children & Family Movies
425,TV Show,Chicago Med,desconocido,United States,2019-01-01,TV-14,TV Dramas,TV Dramas
426,Movie,Cousins,"Ainsley Gardiner, Briar Grace-Smith",New Zealand,2021-01-01,TV-MA,Dramas,Dramas
427,Movie,Wannabe Courageous,Mahmoud Karim,desconocido,2019-01-01,TV-14,"Comedies, International Movies",Comedies
428,Movie,Words Bubble Up Like Soda Pop,Kyohei Ishiguro,desconocido,2021-01-01,TV-G,"Anime Features, Children & Family Movies, International Movies",Anime Features
429,Movie,Sanitation Day,Seyi Babatope,Nigeria,2020-01-01,TV-14,"Dramas, International Movies, Thrillers",Dramas
430,TV Show,Sexy Beasts,desconocido,desconocido,2021-01-01,TV-14,"British TV Shows, International TV Shows, Reality TV",British TV Shows
431,TV Show,Too Hot to Handle: Brazil,desconocido,desconocido,2021-01-01,TV-MA,"International TV Shows, Reality TV, Romantic TV Shows",International TV Shows
432,Movie,Trollhunters: Rise of the Titans,"Johane Matte, Andrew L. Schmidt, Francisco Ruiz Velasco",desconocido,2021-01-01,TV-Y7,Children & Family Movies,Children & Family Movies
433,Movie,Milkwater,Morgan Ingari,United States,2020-01-01,TV-MA,"Comedies, Dramas, Independent Movies",Comedies
434,TV Show,Okupas,desconocido,Argentina,2020-01-01,TV-MA,"Classic & Cult TV, Crime TV Shows, International TV Shows",Classic & Cult TV
435,TV Show,Touch Your Heart,desconocido,desconocido,2019-01-01,TV-MA,"Crime TV Shows, International TV Shows, Romantic TV Shows",Crime TV Shows
436,Movie,The Tambour of Retribution,Abdulaziz Alshlahei,Saudi Arabia,2021-01-01,TV-14,"Dramas, International Movies, Romantic Movies",Dramas
437,Movie,Cosmic Sin,Edward Drake,United States,2021-01-01,R,Action & Adventure,Action & Adventure
438,Movie,2 Weeks in Lagos,Kathryn Fasegha,desconocido,2020-01-01,TV-PG,"Dramas, International Movies, Romantic Movies",Dramas
439,Movie,Deep,"Sita Likitvanichkul, Jetarin Ratanaserikiat, Apirak Samudkitpaisan, Thanabodee Uawithya, Adirek Wattaleela",Thailand,2021-01-01,TV-MA,"Dramas, International Movies, Thrillers",Dramas
440,TV Show,Explained,desconocido,United States,2021-01-01,TV-MA,"Docuseries, Science & Nature TV",Docuseries
441,Movie,Fear Street Part 3: 1666,Leigh Janiak,desconocido,2021-01-01,R,"Horror Movies, LGBTQ Movies",Horror Movies
442,TV Show,Johnny Test,desconocido,"United States, Canada",2021-01-01,TV-Y7,"Kids' TV, TV Comedies",Kids' TV
443,Movie,La ley de Herodes,Luis Estrada,desconocido,1999-01-01,R,"Comedies, International Movies",Comedies
444,TV Show,Naomi Osaka,Garrett Bradley,desconocido,2021-01-01,TV-14,Docuseries,Docuseries
445,Movie,The Beguiled,Sofia Coppola,United States,2017-01-01,R,"Dramas, Independent Movies, Thrillers",Dramas
446,Movie,The Book of Henry,Colin Trevorrow,United States,2017-01-01,PG-13,Dramas,Dramas
447,Movie,The Twilight Saga: Breaking Dawn: Part 1,Bill Condon,United States,2011-01-01,PG-13,"Dramas, Romantic Movies",Dramas
448,Movie,The Twilight Saga: Breaking Dawn: Part 2,Bill Condon,United States,2012-01-01,PG-13,"Dramas, Romantic Movies",Dramas
449,Movie,The Twilight Saga: Eclipse,David Slade,United States,2010-01-01,PG-13,"Dramas, Romantic Movies",Dramas
450,Movie,The Twilight Saga: New Moon,Chris Weitz,United States,2009-01-01,PG-13,"Dramas, Romantic Movies",Dramas
451,Movie,Twilight,Catherine Hardwicke,United States,2008-01-01,PG-13,"Action & Adventure, Dramas, Romantic Movies",Action & Adventure
452,Movie,A Perfect Fit,Hadrah Daeng Ratu,Indonesia,2021-01-01,TV-PG,"Comedies, Dramas, International Movies",Comedies
453,TV Show,BEASTARS,desconocido,Japan,2021-01-01,TV-MA,"Anime Series, International TV Shows",Anime Series
454,Movie,Cheech & Chong's Still Smokin,Tommy Chong,desconocido,1983-01-01,TV-MA,"Comedies, Cult Movies",Comedies
455,Movie,Emicida: AmarElo - Live in São Paulo,Fred Ouro Preto,desconocido,2021-01-01,TV-MA,"Documentaries, International Movies, Music & Musicals",Documentaries
456,TV Show,Her Private Life,desconocido,South Korea,2019-01-01,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows
457,Movie,Lift Like a Girl,Mayye Zayed,"Egypt, Denmark, Germany",2021-01-01,TV-PG,"Documentaries, International Movies, Sports Movies",Documentaries
458,Movie,My Amanda,Alessandra de Rossi,desconocido,2021-01-01,TV-14,"Dramas, International Movies, Romantic Movies",Dramas
459,TV Show,Never Have I Ever,desconocido,United States,2021-01-01,TV-14,"TV Comedies, TV Dramas, Teen TV Shows",TV Comedies
460,Movie,Surf's Up,"Ash Brannon, Chris Buck","United States, Canada",2007-01-01,PG,"Children & Family Movies, Comedies, Sports Movies",Children & Family Movies
461,Movie,The Unknown Saint,Alaa Eddine Aljem,desconocido,2019-01-01,TV-14,"Comedies, Dramas, Independent Movies",Comedies
462,Movie,This Changes Everything,Tom Donahue,United States,2019-01-01,TV-MA,Documentaries,Documentaries
463,Movie,A Classic Horror Story,"Roberto De Feo, Paolo Strippoli",Italy,2021-01-01,TV-MA,"Horror Movies, International Movies",Horror Movies
464,Movie,Gunpowder Milkshake,Navot Papushado,desconocido,2021-01-01,R,"Action & Adventure, Comedies",Action & Adventure
465,TV Show,Heist,desconocido,desconocido,2021-01-01,TV-MA,"Crime TV Shows, Docuseries",Crime TV Shows
466,TV Show,My Unorthodox Life,desconocido,desconocido,2021-01-01,TV-MA,Reality TV,Reality TV
467,Movie,Private Network: Who Killed Manuel Buendía?,Manuel Alcalá,desconocido,2021-01-01,TV-MA,"Documentaries, International Movies",Documentaries
468,Movie,The Guide to the Perfect Family,Ricardo Trogi,desconocido,2021-01-01,TV-MA,"Comedies, Dramas, International Movies",Comedies
469,Movie,American Woman,Semi Chellas,"United States, Canada",2019-01-01,TV-MA,"Dramas, Independent Movies",Dramas
470,Movie,Bridgerton - The Afterparty,desconocido,desconocido,2021-01-01,TV-14,Movies,Movies
471,Movie,Day of Destiny,"Akay Mason, Abosi Ogba",desconocido,2021-01-01,TV-PG,"Children & Family Movies, Dramas, International Movies",Children & Family Movies
472,TV Show,Ridley Jones,desconocido,United States,2021-01-01,TV-Y,Kids' TV,Kids' TV
473,Movie,Born to Play,Viridiana Lieberman,United States,2020-01-01,TV-MA,"Documentaries, Sports Movies",Documentaries
474,Movie,American Ultra,Nima Nourizadeh,"United States, Switzerland",2015-01-01,R,"Action & Adventure, Comedies",Action & Adventure
475,Movie,The Stand-Up,Daniel Růžička,desconocido,2019-01-01,TV-MA,Stand-Up Comedy,Stand-Up Comedy
476,Movie,The Tour,Juraj Šajmovič,desconocido,2016-01-01,TV-MA,"Comedies, Documentaries, International Movies",Comedies
477,TV Show,Atypical,desconocido,United States,2021-01-01,TV-14,"TV Comedies, TV Dramas, Teen TV Shows",TV Comedies
478,TV Show,Biohackers,desconocido,Germany,2021-01-01,TV-MA,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",International TV Shows
479,Movie,Fear Street Part 2: 1978,Leigh Janiak,desconocido,2021-01-01,R,Horror Movies,Horror Movies
480,Movie,Finding Hubby,Femi D. Ogunsanwo,desconocido,2020-01-01,TV-14,"Comedies, Dramas, International Movies",Comedies
481,Movie,How I Became a Superhero,Douglas Attal,desconocido,2021-01-01,TV-MA,"Action & Adventure, Dramas, International Movies",Action & Adventure
482,TV Show,How to Become a Tyrant,desconocido,desconocido,2021-01-01,TV-MA,Docuseries,Docuseries
483,Movie,Last Summer,desconocido,desconocido,2021-01-01,TV-MA,"Dramas, International Movies, Romantic Movies",Dramas
484,Movie,Lee Su-geun: The Sense Coach,Kim Joo-hyung,desconocido,2021-01-01,TV-G,Stand-Up Comedy,Stand-Up Comedy
485,Movie,Lethal Love,Avi Federgreen,desconocido,2021-01-01,TV-14,Thrillers,Thrillers
486,Movie,Ratchet and Clank,"Jericca Cleland, Kevin Munroe","Hong Kong, Canada, United States",2016-01-01,PG,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",Children & Family Movies
487,TV Show,The Cook of Castamar,desconocido,desconocido,2021-01-01,TV-MA,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",International TV Shows
488,TV Show,Virgin River,desconocido,United States,2021-01-01,TV-14,"Romantic TV Shows, TV Dramas",Romantic TV Shows
489,Movie,Back to Q82,Ahmed Siddiqui,"Kuwait, United States",2017-01-01,TV-14,"Comedies, International Movies",Comedies
490,TV Show,Elize Matsunaga: Once Upon a Crime,desconocido,desconocido,2021-01-01,TV-MA,"Crime TV Shows, Docuseries, International TV Shows",Crime TV Shows
491,Movie,Home Again,Hallie Meyers-Shyer,United States,2017-01-01,PG-13,"Comedies, Dramas, Romantic Movies",Comedies
492,Movie,Midnight Sun,Scott Speer,United States,2018-01-01,PG-13,"Dramas, Romantic Movies",Dramas
493,TV Show,RESIDENT EVIL: Infinite Darkness,desconocido,"United States, Japan",2021-01-01,TV-MA,"Anime Series, TV Horror, TV Thrillers",Anime Series
494,Movie,Rock the Kasbah,Barry Levinson,United States,2015-01-01,R,"Comedies, Music & Musicals",Comedies
495,Movie,Awon Boyz,Tolulope Itegboje,desconocido,2019-01-01,TV-MA,"Documentaries, International Movies",Documentaries
496,Movie,Brick Mansions,Camille Delamarre,"France, Canada, United States, Spain",2014-01-01,PG-13,"Action & Adventure, International Movies",Action & Adventure
497,TV Show,Cat People,desconocido,desconocido,2021-01-01,TV-14,Docuseries,Docuseries
498,Movie,Clash,Pascal Atuma,desconocido,2020-01-01,TV-MA,"Dramas, International Movies",Dramas
499,TV Show,Dogs,desconocido,United States,2021-01-01,TV-PG,Docuseries,Docuseries
500,Movie,Major Grom: Plague Doctor,Oleg Trofim,desconocido,2021-01-01,TV-MA,"Action & Adventure, International Movies",Action & Adventure
501,Movie,Mama Drama,Seyi Babatope,desconocido,2020-01-01,TV-MA,"Dramas, International Movies",Dramas
502,Movie,Tango With Me,Mahmood Ali-Balogun,Nigeria,2010-01-01,TV-14,"Dramas, International Movies, Romantic Movies",Dramas
503,TV Show,The Mire,Jan Holoubek,Poland,2021-01-01,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows
504,TV Show,The War Next-door,desconocido,desconocido,2021-01-01,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Comedies",International TV Shows
505,Movie,Therapy,"Anurin Nwunembom, Musing Derrick",desconocido,2020-01-01,TV-PG,"Dramas, International Movies",Dramas
506,Movie,This Little Love Of Mine,Christine Luby,Australia,2021-01-01,TV-G,"International Movies, Romantic Movies",International Movies
507,Movie,Three Thieves,Udoka Oyeka,desconocido,2019-01-01,TV-14,"Comedies, International Movies",Comedies
508,Movie,A Land Imagined,Yeo Siew Hua,"France, Netherlands, Singapore",2019-01-01,TV-MA,"Dramas, International Movies",Dramas
509,TV Show,Ask the StoryBots,desconocido,United States,2019-01-01,TV-Y,Kids' TV,Kids' TV
510,TV Show,Between,desconocido,Canada,2016-01-01,TV-14,"International TV Shows, TV Dramas, TV Mysteries",International TV Shows
511,TV Show,Chelsea,desconocido,United States,2017-01-01,TV-MA,"Stand-Up Comedy & Talk Shows, TV Comedies",Stand-Up Comedy & Talk Shows
512,TV Show,Code Lyoko,desconocido,"France, Belgium",2007-01-01,TV-Y7,Kids' TV,Kids' TV
513,TV Show,Colony,desconocido,United States,2018-01-01,TV-14,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",TV Action & Adventure
514,TV Show,Cuckoo,desconocido,United Kingdom,2019-01-01,TV-MA,"British TV Shows, International TV Shows, TV Comedies",British TV Shows
515,TV Show,Derry Girls,desconocido,United Kingdom,2019-01-01,TV-MA,"British TV Shows, International TV Shows, TV Comedies",British TV Shows
516,TV Show,Girl from Nowhere,desconocido,Thailand,2021-01-01,TV-MA,"International TV Shows, TV Dramas, TV Mysteries",International TV Shows
517,TV Show,Good Morning Call,desconocido,Japan,2017-01-01,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows
518,Movie,Har Kisse Ke Hisse: Kaamyaab,Hardik Mehta,India,2020-01-01,TV-14,"Dramas, International Movies",Dramas
519,TV Show,I AM A KILLER,desconocido,United Kingdom,2020-01-01,TV-MA,"British TV Shows, Crime TV Shows, Docuseries",British TV Shows
520,TV Show,I Think You Should Leave with Tim Robinson,desconocido,United States,2021-01-01,TV-MA,TV Comedies,TV Comedies
521,TV Show,Kim's Convenience,desconocido,Canada,2021-01-01,TV-MA,"International TV Shows, TV Comedies",International TV Shows
522,TV Show,Larva,desconocido,Russia,2015-01-01,TV-Y7,"Kids' TV, Korean TV Shows, TV Comedies",Kids' TV
523,TV Show,Marcella,desconocido,United Kingdom,2019-01-01,TV-MA,"British TV Shows, Crime TV Shows, International TV Shows",British TV Shows
524,TV Show,Midnight Diner: Tokyo Stories,desconocido,Japan,2019-01-01,TV-MA,"International TV Shows, TV Dramas",International TV Shows
525,TV Show,My Little Pony: Friendship Is Magic,desconocido,"United States, Canada",2018-01-01,TV-Y,Kids' TV,Kids' TV
526,TV Show,Orange Is the New Black,desconocido,United States,2019-01-01,TV-MA,"TV Comedies, TV Dramas",TV Comedies
527,TV Show,Puffin Rock,desconocido,"Ireland, United States, United Kingdom",2016-01-01,TV-Y,Kids' TV,Kids' TV
528,Movie,Rehmataan,"Rajveer Singh Maan, Harpeet Singh",India,2012-01-01,TV-14,"Dramas, International Movies, Romantic Movies",Dramas
529,Movie,Return of the Prodigal Son,Youssef Chahine,Egypt,1976-01-01,TV-MA,"Dramas, International Movies",Dramas
530,TV Show,Richie Rich,desconocido,United States,2015-01-01,TV-G,"Kids' TV, TV Comedies",Kids' TV
531,Movie,Rise: Ini Kalilah,"Saw Teong Hin, Nik Amir Mustapha, M.S. Prem Nath",Malaysia,2018-01-01,TV-PG,"Dramas, International Movies",Dramas
532,TV Show,Scream,desconocido,United States,2019-01-01,TV-MA,"Crime TV Shows, TV Horror, TV Mysteries",Crime TV Shows
533,TV Show,Shtisel,desconocido,Israel,2021-01-01,TV-14,"International TV Shows, TV Dramas",International TV Shows
534,Movie,Si Doel the Movie 2,Rano Karno,Indonesia,2019-01-01,TV-G,"Dramas, International Movies",Dramas
535,TV Show,Some Assembly Required,desconocido,Canada,2015-01-01,TV-Y,"Kids' TV, TV Comedies",Kids' TV
536,TV Show,Tales by Light,desconocido,Australia,2018-01-01,TV-14,"Docuseries, International TV Shows, Science & Nature TV",Docuseries
537,TV Show,Terrace House: Opening New Doors,desconocido,Japan,2018-01-01,TV-14,"International TV Shows, Reality TV",International TV Shows
538,TV Show,The A List,desconocido,United Kingdom,2021-01-01,TV-PG,"British TV Shows, International TV Shows, TV Dramas",British TV Shows
539,TV Show,The New Legends of Monkey,desconocido,"Australia, New Zealand",2020-01-01,TV-PG,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",Kids' TV
540,TV Show,The Worst Witch,desconocido,"United Kingdom, Germany",2020-01-01,TV-G,"British TV Shows, Kids' TV",British TV Shows
541,Movie,Truckbhar Swapna,Pramod Pawar,India,2018-01-01,TV-14,"Comedies, Dramas, International Movies",Comedies
542,Movie,Ujala,Naresh Saigal,India,1959-01-01,TV-14,"Dramas, International Movies",Dramas
543,TV Show,Undercover,desconocido,"Belgium, Netherlands",2020-01-01,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure",Crime TV Shows
544,TV Show,Workin' Moms,desconocido,Canada,2021-01-01,TV-MA,"International TV Shows, TV Comedies",International TV Shows
545,TV Show,YooHoo to the Rescue,desconocido,South Korea,2020-01-01,TV-Y,"Kids' TV, Korean TV Shows",Kids' TV
546,TV Show,You Are My Spring,desconocido,desconocido,2021-01-01,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas",International TV Shows
547,TV Show,We the People,desconocido,United States,2021-01-01,TV-Y7,Kids' TV,Kids' TV
548,TV Show,Grey's Anatomy,desconocido,United States,2020-01-01,TV-14,"Romantic TV Shows, TV Dramas",Romantic TV Shows
549,TV Show,Big Timber,desconocido,desconocido,2020-01-01,TV-14,"International TV Shows, Reality TV",International TV Shows
550,Movie,Fear Street Part 1: 1994,Leigh Janiak,desconocido,2021-01-01,R,"Horror Movies, LGBTQ Movies",Horror Movies
551,Movie,Haseen Dillruba,Vinil Mathew,India,2021-01-01,TV-MA,"International Movies, Romantic Movies, Thrillers",International Movies
552,Movie,Holiday on Mars,Neri Parenti,desconocido,2020-01-01,TV-MA,"Comedies, International Movies",Comedies
553,TV Show,Mortel,desconocido,France,2019-01-01,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows
554,Movie,RattleSnake - The Ahanna Story,Ramsey Nouah,Nigeria,2020-01-01,TV-MA,"Dramas, International Movies, Thrillers",Dramas
555,Movie,Snowpiercer,Bong Joon Ho,"South Korea, Czech Republic",2013-01-01,R,"Action & Adventure, Cult Movies, International Movies",Action & Adventure
556,Movie,The 8th Night,Kim Tae-hyung,South Korea,2021-01-01,TV-14,"Horror Movies, International Movies, Thrillers",Horror Movies
557,Movie,Winchester,"Michael Spierig, Peter Spierig","Australia, United States",2018-01-01,PG-13,"Horror Movies, Sci-Fi & Fantasy",Horror Movies
558,Movie,6 Bullets,Ernie Barbarash,United States,2012-01-01,R,Action & Adventure,Action & Adventure
559,Movie,Air Force One,Wolfgang Petersen,"United States, Germany",1997-01-01,R,Action & Adventure,Action & Adventure
560,Movie,Audible,Matt Ogens,desconocido,2021-01-01,PG-13,"Documentaries, Sports Movies",Documentaries
561,Movie,Austin Powers in Goldmember,Jay Roach,United States,2002-01-01,PG-13,"Action & Adventure, Comedies",Action & Adventure
562,Movie,Austin Powers: International Man of Mystery,Jay Roach,United States,1997-01-01,PG-13,Comedies,Comedies
563,Movie,Austin Powers: The Spy Who Shagged Me,Jay Roach,United States,1999-01-01,PG-13,"Action & Adventure, Comedies, Sci-Fi & Fantasy",Action & Adventure
564,Movie,Boogie Nights,Paul Thomas Anderson,United States,1997-01-01,R,"Comedies, Dramas, Independent Movies",Comedies
565,TV Show,Bureau of Magical Things,desconocido,"Australia, Germany",2020-01-01,TV-G,"International TV Shows, Kids' TV, TV Mysteries",International TV Shows
566,Movie,Charlie's Angels,McG,"United States, Germany",2000-01-01,PG-13,"Action & Adventure, Comedies",Action & Adventure
567,Movie,Congo,Frank Marshall,United States,1995-01-01,PG-13,"Action & Adventure, Thrillers",Action & Adventure
568,Movie,Dennis the Menace,Nick Castle,United States,1993-01-01,PG,"Children & Family Movies, Comedies",Children & Family Movies
569,Movie,Dreamy Eyes,Victor Vu,Vietnam,2019-01-01,TV-14,"Dramas, International Movies, Romantic Movies",Dramas
570,Movie,Dynasty Warriors,Chow Hin Yeung Roy,desconocido,2021-01-01,TV-14,"Action & Adventure, International Movies",Action & Adventure
571,TV Show,Generation 56k,desconocido,desconocido,2021-01-01,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows
572,Movie,Hampstead,Joel Hopkins,"United Kingdom, Belgium",2019-01-01,PG-13,"Comedies, Dramas, International Movies",Comedies
573,Movie,Kung Fu Panda,"John Stevenson, Mark Osborne","United States, China",2008-01-01,PG,"Children & Family Movies, Comedies",Children & Family Movies
574,Movie,Kung Fu Panda 2,Jennifer Yuh Nelson,"United States, China",2011-01-01,PG,"Children & Family Movies, Comedies",Children & Family Movies
575,Movie,Life as We Know It,Greg Berlanti,United States,2010-01-01,PG-13,"Comedies, Dramas, Romantic Movies",Comedies
576,Movie,Mary Magdalene,Garth Davis,"United Kingdom, Australia, United States",2019-01-01,R,"Dramas, Faith & Spirituality, International Movies",Dramas
577,TV Show,Masameer County,Malik Nejer,desconocido,2021-01-01,TV-MA,"International TV Shows, TV Comedies",International TV Shows
578,Movie,Memoirs of a Geisha,Rob Marshall,"France, Japan, United States",2005-01-01,PG-13,"Dramas, Romantic Movies",Dramas
579,Movie,Midnight Run,Martin Brest,United States,1988-01-01,R,"Action & Adventure, Classic Movies, Comedies",Action & Adventure
580,Movie,Mobile Suit Gundam Hathaway,Shuko Murase,desconocido,2021-01-01,TV-14,"Action & Adventure, Anime Features, International Movies",Action & Adventure
581,Movie,Mortal Kombat,Paul W.S. Anderson,United States,1995-01-01,PG-13,"Action & Adventure, Sci-Fi & Fantasy",Action & Adventure
582,Movie,Mother's Day,Garry Marshall,United States,2016-01-01,PG-13,"Comedies, Dramas",Comedies
583,Movie,No Strings Attached,Ivan Reitman,"United States, United Kingdom",2011-01-01,R,"Comedies, Romantic Movies",Comedies
584,Movie,Not Another Teen Movie,Joel Gallen,United States,2001-01-01,R,Comedies,Comedies
585,Movie,Ophelia,Claire McCarthy,"United Kingdom, United States",2018-01-01,PG-13,"Dramas, Romantic Movies",Dramas
586,Movie,Pet Sematary 2,Mary Lambert,desconocido,1992-01-01,R,Horror Movies,Horror Movies
587,TV Show,Quarantine Tales,"Sidharta Tata, Aco Tenriyagelli, Dian Sastrowardoyo, Ifa Isfansyah, Jason Iskandar",desconocido,2020-01-01,TV-MA,"International TV Shows, TV Comedies, TV Dramas",International TV Shows
588,TV Show,Rainbow Rangers,desconocido,United States,2018-01-01,TV-Y,Kids' TV,Kids' TV
589,Movie,Red Joan,Trevor Nunn,United Kingdom,2019-01-01,R,"Dramas, International Movies",Dramas
590,TV Show,Sailor Moon Crystal,desconocido,desconocido,2016-01-01,TV-Y7,"Anime Series, Kids' TV",Anime Series
591,Movie,Seven Pounds,Gabriele Muccino,United States,2008-01-01,PG-13,"Dramas, Romantic Movies",Dramas
592,Movie,She's Out of My League,Jim Field Smith,United States,2010-01-01,R,"Comedies, Romantic Movies",Comedies
593,Movie,Snow Day,Chris Koch,United States,2000-01-01,PG,"Children & Family Movies, Comedies",Children & Family Movies
594,Movie,Star Trek,J.J. Abrams,"United States, Germany",2009-01-01,PG-13,"Action & Adventure, Sci-Fi & Fantasy",Action & Adventure
595,Movie,Stuart Little,Rob Minkoff,"Germany, United States",1999-01-01,PG,"Children & Family Movies, Comedies",Children & Family Movies
596,Movie,Sword of Trust,Lynn Shelton,United States,2019-01-01,R,"Comedies, Dramas, Independent Movies",Comedies
597,Movie,Talladega Nights: The Ballad of Ricky Bobby,Adam McKay,United States,2006-01-01,PG-13,"Action & Adventure, Comedies, Sports Movies",Action & Adventure
598,Movie,The American,Anton Corbijn,"United States, United Kingdom",2010-01-01,R,"Dramas, Thrillers",Dramas
599,Movie,The Best of Enemies,Robin Bissell,United States,2019-01-01,PG-13,Dramas,Dramas
600,Movie,The Game,David Fincher,United States,1997-01-01,R,Thrillers,Thrillers
601,Movie,The Karate Kid,John G. Avildsen,United States,1984-01-01,PG,"Action & Adventure, Children & Family Movies, Classic Movies",Action & Adventure
602,Movie,The Karate Kid Part II,John G. Avildsen,United States,1986-01-01,PG,"Action & Adventure, Children & Family Movies, Dramas",Action & Adventure
603,Movie,The Karate Kid Part III,John G. Avildsen,United States,1989-01-01,PG,"Children & Family Movies, Dramas",Children & Family Movies
604,Movie,The Life of David Gale,Alan Parker,"United Kingdom, Germany, Spain, United States",2003-01-01,R,Dramas,Dramas
605,Movie,The Long Riders,Walter Hill,United States,1980-01-01,R,Action & Adventure,Action & Adventure
606,Movie,The Queen,Stephen Frears,"United Kingdom, United States, France, Italy",2006-01-01,PG-13,"Dramas, International Movies",Dramas
607,Movie,The Strangers,Bryan Bertino,United States,2008-01-01,R,"Horror Movies, Thrillers",Horror Movies
608,Movie,The Sum of All Fears,Phil Alden Robinson,"United States, Germany, Canada",2002-01-01,PG-13,Action & Adventure,Action & Adventure
609,Movie,The Tourist,Florian Henckel von Donnersmarck,"United States, France, Italy, United Kingdom",2010-01-01,PG-13,"Action & Adventure, Romantic Movies",Action & Adventure
610,Movie,Underworld,Len Wiseman,"United States, United Kingdom, Germany, Hungary",2003-01-01,R,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",Action & Adventure
611,Movie,Underworld: Awakening,"Måns Mårlind, Björn Stein","United States, Canada",2012-01-01,R,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",Action & Adventure
612,Movie,Underworld: Rise of the Lycans,Patrick Tatopoulos,"United States, New Zealand",2009-01-01,R,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",Action & Adventure
613,Movie,Voiceless,Robert O. Peters,Nigeria,2020-01-01,TV-MA,"Dramas, International Movies, Thrillers",Dramas
614,Movie,What Dreams May Come,Vincent Ward,"United States, New Zealand",1998-01-01,PG-13,"Dramas, Romantic Movies, Sci-Fi & Fantasy",Dramas
615,Movie,Why Do Fools Fall in Love,Gregory Nava,United States,1998-01-01,R,"Dramas, Music & Musicals, Romantic Movies",Dramas
616,Movie,Working Title,Mary Harron,desconocido,2019-01-01,R,Dramas,Dramas
617,TV Show,Young Royals,desconocido,Sweden,2021-01-01,TV-MA,"International TV Shows, Romantic TV Shows, TV Dramas",International TV Shows
618,Movie,America: The Motion Picture,Matt Thompson,United States,2021-01-01,TV-MA,"Action & Adventure, Comedies",Action & Adventure
619,Movie,Deranged,Jameel Buari,desconocido,2020-01-01,TV-14,"Dramas, International Movies",Dramas
620,TV Show,Droppin' Cash: Los Angeles,desconocido,United States,2019-01-01,TV-MA,Reality TV,Reality TV
621,TV Show,Legend of Exorcism,Shen Leping,desconocido,2020-01-01,TV-14,"Anime Series, Crime TV Shows, International TV Shows",Anime Series
622,Movie,Lying and Stealing,Matt Aselton,United States,2019-01-01,R,Thrillers,Thrillers
623,Movie,Mommy Issues,Jose Javier Reyes,desconocido,2021-01-01,TV-MA,"Comedies, Dramas, International Movies",Comedies
624,Movie,Prime Time,Jakub Piątek,desconocido,2021-01-01,TV-MA,"Dramas, International Movies, Thrillers",Dramas
625,TV Show,Somos.,desconocido,Mexico,2021-01-01,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Crime TV Shows
626,TV Show,Sophie: A Murder in West Cork,John Dower,desconocido,2021-01-01,TV-MA,"British TV Shows, Crime TV Shows, Docuseries",British TV Shows
627,TV Show,The Daily Life of the Immortal King,desconocido,China,2020-01-01,TV-14,"Anime Series, International TV Shows, Teen TV Shows",Anime Series
628,TV Show,StarBeam,desconocido,United States,2021-01-01,TV-Y,Kids' TV,Kids' TV
